id, title               , one_liner                                          , entities                                                                      , must_endpoints                                             , security_focus                                  , stretch                                     , stack
 1, Habit Tracker       , Отслеживание привычек и отметок по дням            , "User; Habit(name, periodicity); Checkin(date, value)"                        , CRUD /habits; CRUD /checkins; GET /stats                   , AuthN/AuthZ; owner-only; validation(periodicity), Streaks; экспорт CSV; напоминания (заглушка), Python/FastAPI + SQLite/Postgres + Pytest
 2, Study Notes         , Личные конспекты с тегами                          , "User; Note(title, body); Tag(name); NoteTag"                                 , CRUD /notes; CRUD /tags; GET /notes?tag=                   , AuthN/AuthZ; owner-only; size limits            , Импорт/экспорт Markdown; поиск (LIKE)       , Python/FastAPI + SQLite/Postgres + Pytest
 3, Bookmark Manager    , Закладки с категориями и быстрым поиском           , "User; Bookmark(title, url, tags, notes)"                                     , CRUD /bookmarks; GET /bookmarks?query=                     , AuthN/AuthZ; owner-only; URL validation         , Фавиконы (заглушка); импорт CSV             , Python/FastAPI + SQLite/Postgres + Pytest
 4, Task Tracker        , Личный таск-менеджер с приоритетами                , "User; Task(title, status, priority, due_at)"                                 , CRUD /tasks; GET /tasks?status=&due<                       , AuthN/AuthZ; owner-only; validation(status)     , Канбан-вью (позже); повторяющиеся задачи    , Python/FastAPI + SQLite/Postgres + Pytest
 5, Reading List        , Список книг/статей «к прочтению»                   , "User; Entry(title, kind, link, status)"                                      , CRUD /entries; GET /entries?status=                        , AuthN/AuthZ; owner-only; validation(kind/status), Интеграция с метаданными (заглушка)         , Python/FastAPI + SQLite/Postgres + Pytest
 6, Recipe Box          , Менеджер рецептов с ингредиентами                  , "User; Recipe(title, steps); Ingredient(name); RecipeIngredient(amount, unit)", CRUD /recipes; CRUD /ingredients; GET /recipes?ingredient= , AuthN/AuthZ; owner-only; validation(units)      , План питания (календарь-эмуляция)           , Python/FastAPI + SQLite/Postgres + Pytest
 7, Workout Log         , Тренировки и подходы                               , "User; Workout(date, note); Exercise(name); Set(reps, weight)"                , CRUD /workouts; CRUD /exercises; GET /stats                , AuthN/AuthZ; owner-only; numeric validation     , Пресеты планов; экспорт CSV                 , Python/FastAPI + SQLite/Postgres + Pytest
 8, Idea Backlog        , Каталог идей с оценкой ценности                    , "User; Idea(title, impact, effort, notes)"                                    , CRUD /ideas; GET /ideas?sort=score                         , AuthN/AuthZ; owner-only; validation(ranges)     , Матрица приоритизации; метки                , Python/FastAPI + SQLite/Postgres + Pytest
 9, Wishlist            , Список желаемых вещей/наборов                      , "User; Wish(title, link, price_estimate, notes)"                              , CRUD /wishes; GET /wishes?price<                           , AuthN/AuthZ; owner-only; numeric validation     , Категории; сортировка; экспорт              , Python/FastAPI + SQLite/Postgres + Pytest
10, Learning Flashcards , Карточки для запоминания с простым повторением     , "User; Deck(title); Card(front, back, deck_id)"                               , CRUD /decks; CRUD /cards; GET /decks/{id}/review           , AuthN/AuthZ; owner-only; rate limit review      , Алгоритм интервальных повторений            , Python/FastAPI + SQLite/Postgres + Pytest
